id,name,email,phone_number,address,jobs_name_type,jobs_name_id,sub_contact_type,sub_contact_id,mail_allocation,landline_number,code
96,sasikumar,sasikumar.balu@adcltech.com,7894561235,Cbe,CfaTitle,1,Supplier,841,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,347
97,ManiK,sasikumar.balu@adcltech.com,7531598524,Cbe,CfaTitle,1,Supplier,961,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,46
98,Kumaravel .sas,sasikumar.balu@adcltech.com,852147852,cbe ,CfaTitle,3,Supplier,1116,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,605
99,SasKKr,sasikumar.balu@adcltech.com,4563214785,cbe r,CfaTitle,1,Supplier,626,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,1
7,Senthil,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,CfaTitle,1,Manufacturer,420,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,17
8,sasi,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,CfaTitle,1,Division,1541,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,77
9,nagammai,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,CfaTitle,1,Supplier,1209,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,694
10,sass,sasikumar.balu@adcltech.com,7412589635,sd cbe,CfaTitle,1,Supplier,1098,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,589
4,nagammai pharama,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,CfaTitle,1,Supplier,1074,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,565
11,Mani,senthil.eswaramoorthi@altiussolution.com,753159826,cbe,CfaTitle,1,Supplier,724,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,235
12,jai,senthil.eswaramoorthi@altiussolution.com,8794561235,sse23,CfaTitle,1,Supplier,669,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,18
14,PrabuF,senthil.eswaramoorthi@altiussolution.com,789456126,ADE,CfaTitle,1,Supplier,685,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,20
19,jeys,jeyashankar.selvaraj@adcltech.com,7896541235,theni,CfaTitle,1,Supplier,1214,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,699
23,Kumar r,jeyashankar.selvaraj@adcltech.com,451238975,ssss,CfaTitle,3,Supplier,676,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,191
22,SDhanveekd,jeyashankar.selvaraj@adcltech.com,4324343253,sdfgdsg,CfaTitle,3,Supplier,1198,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,683
25,sask,sasikumar.balu@adcltech.com,7896541235,cbe,MarketingTitle,20,Supplier,1027,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,52
1,Raji,senthil.eswaramoorthi@altiussolution.com,9856321470,Cbe,CfaTitle,1,Division,1445,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,683
2,Raji,rajalakshmi.ramaraj@adcltech.com,9856321470,Cbe,CfaTitle,1,Supplier,681,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,196
3,Raji,rajalakshmi.ramaraj@adcltech.com,985632147,cbe,CfaTitle,1,Division,840,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,138
13,Raji,rajalakshmi.ramaraj@adcltech.com,1236547895,CBE,CfaTitle,1,Supplier,784,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,293
15,Raji,rajalakshmi.ramaraj@adcltech.com,9685741236,"",CfaTitle,1,Supplier,908,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,41
18,Raji.R,rajalakshmi.ramaraj@adcltech.com,9876543210,cbe,CfaTitle,1,Division,1087,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,360
24,SKishore,sasikumar.balu@adcltech.com,8975461236,cbe,CfaTitle,3,Supplier,974,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,472
5,Senthil,kalpana.gunasekaran@altiussolution.com,9865473215,cbe,CfaTitle,1,Division,1596,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,819
117,Senthilkumar,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,MarketingTitle,19,Division,840,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,138
118,Sasikumar,sasikumar.balu@adcltech.com,985632147,cbe,MarketingTitle,20,Division,798,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,10
119,Tennis,senthil.eswaramoorthi@altiussolution.com,9865473215,cbe,MarketingTitle,19,Division,1445,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,683
120,Raji,rajalakshmi.ramaraj@adcltech.com,9865473215,cbe,MarketingTitle,19,Division,1281,"purchase_order,excess_stock,rate_change,free_and_discounts,expiry,purchase_return,po_gr",,535
